continent,location,date,population,highest_infection_count,per_pop_infected
Europe,Czechia,2021-01-04,10708982,1539617,14.376875411687124
Europe,Andorra,2021-09-03,77265,11089,14.351905778813176
Europe,Montenegro,2021-03-28,628062,90083,14.343010721871408
Europe,Andorra,2021-08-03,77265,11069,14.326020837377856
Europe,Czechia,2021-03-31,10708982,1532332,14.308848404077997
Europe,Andorra,2021-07-03,77265,11042,14.291076166440172
Europe,Montenegro,2021-03-27,628062,89732,14.287124519553801
Europe,Andorra,2021-06-03,77265,11019,14.261308483789556
Europe,Andorra,2021-05-03,77265,10998,14.234129295282468
Europe,Montenegro,2021-03-26,628062,89363,14.228372358142986
Europe,Czechia,2021-03-30,10708982,1523668,14.227944355495229
Europe,Andorra,2021-04-03,77265,10976,14.205655859703617
Europe,Andorra,2021-03-03,77265,10948,14.169416941694168
Europe,Montenegro,2021-03-25,628062,88991,14.1691425368833
Europe,Czechia,2021-03-29,10708982,1516772,14.163549812671269
Europe,Czechia,2021-03-28,10708982,1515029,14.147273755806108
Europe,Andorra,2021-02-03,77265,10908,14.117647058823529
Europe,Czechia,2021-03-27,10708982,1511021,14.109847229176406
Europe,Montenegro,2021-03-24,628062,88550,14.098926539099644
Europe,Andorra,2021-01-03,77265,10889,14.093056364459974
Europe,Andorra,2021-02-28,77265,10866,14.063288681809357
Europe,Andorra,2021-02-27,77265,10849,14.041286481589335
Europe,Czechia,2021-03-26,10708982,1503307,14.037814238552274
Europe,Montenegro,2021-03-23,628062,88116,14.029825080963345
Europe,Andorra,2021-02-26,77265,10822,14.006341810651653
Europe,Andorra,2021-02-25,77265,10799,13.976574128001035
Europe,Czechia,2021-03-25,10708982,1495361,13.963614842195085
Europe,Montenegro,2021-03-22,628062,87638,13.953717945043643
Europe,Andorra,2021-02-24,77265,10775,13.945512198278651
Europe,Andorra,2021-02-23,77265,10739,13.898919303695076
Europe,Montenegro,2021-03-21,628062,87212,13.885890246504326
Europe,Czechia,2021-03-24,10708982,1486510,13.880964595887827
Europe,Andorra,2021-02-22,77265,10712,13.863974632757392
Europe,Andorra,2021-02-21,77265,10699,13.847149420824437
Europe,Montenegro,2021-03-20,628062,86782,13.81742566816652
Europe,Andorra,2021-02-20,77265,10672,13.812204749886753
Europe,Czechia,2021-03-23,10708982,1475538,13.77850854544344
